Filename,Label,Remark
59094708-9d09-41e8-a521-df67f22c4f56,4,GlassBreaking
a5af6033-c993-48b4-ab1c-d857c6bf6ebe,0,Barking
6670bab4-136c-41c4-8ef8-514dd102a9bf,9,Laugh_Shout_Scream
fcf0a001-9762-4577-9777-82a159bb211c,7,Bird
6411f7ec-8a34-4f7b-be52-6d81bd539fc9,9,Laugh_Shout_Scream
9be884c0-1213-498a-81fe-12644bd5a882,0,Barking
c8aeb083-59eb-42f9-ac36-c5fd94588db6,1,Howling
0dcdf518-a4b2-42a0-9a7c-4de087fceeb7,4,GlassBreaking
5a2a4487-2193-47a9-b2e6-c50a2b7b5921,3,COSmoke
255f78e6-a4d0-4702-8139-edf7c1bb9838,0,Barking
cc8f7636-c692-411c-9a43-b5570ec446f6,5,Other
403d5680-db73-4b05-ae06-6eb2e97fd122,5,Other
81a4b39a-c67d-4a96-975f-e1469c272931,5,Other
07835d43-d38e-4710-982e-2df6999e3751,3,COSmoke
350d325b-9837-4153-82d5-2adf397aa6c4,0,Barking
79548d5e-6e73-4707-bb68-d90c9fbda7cb,0,Barking
8d5d4844-5dbf-4627-9eed-04a52db61164,4,GlassBreaking
14d20d1b-1c9a-4240-bf99-1efa36c86cdb,9,Laugh_Shout_Scream
a27318a0-d77f-4403-a6f8-9045215bbb56,5,Other
8be1c92d-af9c-47aa-aaac-bac1c3d4a64f,0,Barking
2bff410f-7448-4e01-8a88-a1ad9a28e495,5,Other
cba266c2-b779-4769-8a6c-2bf5f317bbf2,0,Barking
22aa86b6-b3e6-48ef-a786-785acd2f9d45,5,Other
9a383185-a39c-4c8c-ab82-7df9a87f826c,5,Other
fa437c73-1ab2-4a29-be72-f97e51329f74,1,Howling
48d4e525-fad9-4e24-a2c3-cacbc15d9776,2,Crying
0c5600a6-2364-4c44-83f6-46650c3b6ba9,5,Other
029dcb21-e8de-4be4-a39c-63a4316f4215,8,Music_Instrument
faa22ce2-cb55-4346-a8b1-7cce935bab0f,5,Other
43a9159a-ed00-440c-aac3-ade4cea67529,8,Music_Instrument
c56ba641-f2d4-415e-8ee8-997a93bc70b7,0,Barking
b49d4e9a-982c-480e-bf1c-6e1f0499c0d8,5,Other
cf14ba95-05af-485f-bea5-1fed4278fcfc,0,Barking
25954be3-3375-4d09-95f8-8e9923f2cb82,4,GlassBreaking
fad04c42-263a-4413-88c8-6b5c8d7acb0c,0,Barking
ca0f1dcb-fe9c-4a1a-99e9-cb4a60bb5da0,9,Laugh_Shout_Scream
c91eba97-230f-4335-b355-bb13d4888d70,7,Bird
4268e284-8b6a-4235-8bd2-82c46a6e68ec,6,Doorbell
db394f6f-095f-489d-a73d-767656258b4d,0,Barking
7f848e33-d4c1-4f8e-be4c-bd69f11e5412,0,Barking
bc77b002-812c-4861-bc52-39dc63d911ec,0,Barking
75ba8496-b09d-428f-8597-3fb12b7ca362,7,Bird
3fecf823-4f63-4ade-a6fb-c1d93aea2a4d,5,Other
c8f7a8e4-1010-4a75-86a9-fbd6f0faffbc,5,Other
228dc4f8-c048-43b3-b9e9-39879264fddb,5,Other
9cab25fd-d931-4ef5-8b22-ea5b2be5ae46,1,Howling
e5f5ebb0-7f7c-4517-af71-58ecc0ea214a,5,Other
99d5c819-3b93-49f8-a621-9b3f5843eb0a,0,Barking
0b3a0b6f-2170-404c-b064-52d670823e28,0,Barking
bf386708-8809-4efc-b169-9c8f0bf1e408,1,Howling
5fac5d37-3799-48bc-9877-c6f579a534a7,0,Barking
285a0fb4-1a38-478f-9ab2-2ec97c6aa0bb,5,Other
816695e2-c525-493d-88b5-ac032ac1f492,4,GlassBreaking
993a062b-9019-49ff-8db0-ab6d6847ecce,3,COSmoke
34f7d42b-818c-427f-b07f-fcd0e1362329,5,Other
6bf2768f-2cd8-4702-8786-bad92954318f,0,Barking
e099892f-7037-43cf-96a8-49f295411d80,0,Barking
7b6053c2-b9be-4918-b53d-a1386de9910b,7,Bird
5d9239b3-b9a8-442b-a3b3-ece5c4f362b0,3,COSmoke
0516f4a4-7460-47cc-a290-03eedb2bf9d9,6,Doorbell
5f1edcf9-1db1-4d54-8f20-727d8f588dbb,0,Barking
88bd5cc8-a902-4f74-82b2-1903437c57f0,3,COSmoke
e19df80d-a1c8-4a4d-baee-fc8fc4fef79b,5,Other
dec654c7-7ee0-4bf8-b271-5979458df105,2,Crying
7a9102db-07ac-423b-82ab-00c4347512a4,0,Barking
3b9907f5-ea6c-4c47-89a5-45d332d0d6c2,3,COSmoke
0026d6e9-e32e-4955-ba07-604a47db852f,4,GlassBreaking
f22446c4-369d-4f8f-96bb-91b25965f37f,3,COSmoke
91e2e485-ed79-4103-ad12-ae514c02221e,0,Barking
b0428aff-34d0-4f8e-b852-4ff4d23b2c21,5,Other
2a724074-aa14-4da8-8e05-d3765e57f1d2,5,Other
31183bac-a273-486c-b8ec-3fe543c56ccb,5,Other
bcd05f03-3fef-492e-a2f3-75e583185f06,9,Laugh_Shout_Scream
03f76db9-ba99-4330-974a-3be0bab9bf4e,5,Other
90e70213-cb5b-4aad-9225-e6d09f450610,4,GlassBreaking
4ac08fda-c61a-4e07-bfbc-dfc95e95f95f,4,GlassBreaking
3b72a5d7-ce69-43a8-85fa-1c53043dc424,5,Other
4840ba51-bf13-4911-a998-e3c9c8f4f527,5,Other
f89899e4-e9b8-4519-964b-449a60744858,5,Other
878948a5-438e-4315-b205-7010b6187da1,0,Barking
4ede81e4-eb7d-4ed3-976a-c2ba5945446f,4,GlassBreaking
540741da-a8a8-480a-8ee0-db3bd123a2cb,8,Music_Instrument
233d6dd3-3443-4b8f-953d-119e706c0783,9,Laugh_Shout_Scream
479c2582-8a2d-4932-8144-4037b0337604,0,Barking
fec50980-3df4-4a65-901b-78923a4dc3a6,4,GlassBreaking
26c411ee-96df-4639-9053-1b09c32b476d,9,Laugh_Shout_Scream
801c85b1-77ca-4925-8fa9-0bc9e6ba666d,5,Other
6aeb88da-4e6b-41cc-93b6-5eb347dc056f,0,Barking
c48cb5b7-2c39-4dc8-ad1d-44603aabb929,0,Barking
727841a8-0464-4843-9705-5506b070db79,5,Other
2e5c259c-719d-4dbe-8387-10944bafb2a2,4,GlassBreaking
029f6087-d11b-43fa-aa87-239252fc6340,5,Other
2793ecdd-39ab-42d6-b04e-e75588bbca3b,5,Other
6207154c-2fa2-40be-8fa8-a970a2a246cf,0,Barking
4e92b565-30c4-4a41-b207-aa19871b2fc9,5,Other
26da9eba-592a-488b-96ec-9ddf73fa76a0,4,GlassBreaking
686c8f7b-cf68-466d-b1b0-7a591075f324,5,Other
b06f3dc1-af7a-4006-bb53-43f013d4770e,5,Other
2eda7ac1-9bc0-4603-8bd7-0eaa43c467b7,0,Barking
4943a69b-37bc-4001-a551-8c09ae413d8b,0,Barking
81531ddd-2800-4702-aaf4-6b629ac8db5c,7,Bird
0ddf7443-5754-4cb6-8396-6d92c166109d,3,COSmoke
359f87a6-2a5f-4b32-97ab-e86a2aa7cddf,5,Other
01db165c-e497-4565-bc00-0d8f2619868d,0,Barking
11fb731c-5e52-4eba-8c5e-e7b810382efa,0,Barking
25154ad1-64b2-45d1-a895-9b1af6827d1d,0,Barking
4d7d6a20-f758-4acb-88f8-f7a8defc2b90,5,Other
415252fd-024c-47a8-85c6-e34655efd28c,5,Other
ef193fe8-7f36-4419-82e3-f89f925b3d58,5,Other
83c937b3-ef45-46d7-98c8-4bec7db387fb,0,Barking
05d0502d-cfbd-4e04-9767-d0c262ee972d,2,Crying
44d9bb79-7c2b-4a50-aec7-e19b7cba5624,0,Barking
c3e79753-b2f4-41c2-8c5d-7c38bb05d33d,0,Barking
26376173-eb22-451d-a777-8af334fda396,4,GlassBreaking
6fad4d52-542e-4985-acc8-e65bdd1d7a41,5,Other
f8684f58-e72c-4905-af8c-a9c84d69c309,5,Other
e74ffe0c-752a-4046-90e9-379ee7b4cb41,0,Barking
e9ba923e-083a-48a6-90fa-8ba0818fbe62,2,Crying
6107e2cc-8ffa-4e1b-a780-a2948546c123,4,GlassBreaking
ce5841b2-45d2-41b4-a747-3022ad77b69c,2,Crying
e918fd69-b6ec-4be1-8d2e-798c6a19253a,5,Other
a0b2eaa3-53b0-4dc5-89b7-527f730ff482,4,GlassBreaking
b2a9ea19-ab3a-4c3c-ac60-40a3385d574d,3,COSmoke
88c75bf2-d9e5-4aa5-9c5e-76beb6c03f70,9,Laugh_Shout_Scream
75cc61b0-3998-4f8a-a6fc-a6155f5d7b36,0,Barking
e78e66a9-e7a5-4e6a-8071-b25d518e91cf,5,Other
ead9cb89-7674-4a0a-a64b-b74e7e6a9b99,3,COSmoke
060c7acf-555a-412d-b1d1-09db94d3f168,5,Other
a39c7f36-32f7-4920-989b-284c304423ea,3,COSmoke
